Year;GHGs including aerosols;67% of probability staying below 1.5ÂºC;67% probability of staying below 2ÂºC
1900;287.65;465;505
1910;283.98;465;505
1925;291.48;465;505
1978;310.5;465;505
1983;324.07;465;505
1988;341.02;465;505
1993;357.41;465;505
1995;365.56;465;505
1996;369.73;465;505
2002;391.04;465;505
2009;408.36;465;505
2013;428.57;465;505
2018;455.67;465;505
2021;472.35;465;505
1865;285.39;465;505
1870;285.06;465;505
1875;285.66;465;505
1930;293.6;465;505
1935;293.71;465;505
1984;327.07;465;505
1997;373.21;465;505
1998;378.4;465;505
1999;383.15;465;505
2000;386.76;465;505
2005;398.65;465;505
2006;401.22;465;505
2011;416.62;465;505
2015;440.46;465;505
2016;446.25;465;505
1960;294.21;465;505
1965;293.28;465;505
1985;330.14;465;505
1990;346.87;465;505
1991;351.27;465;505
1994;361.32;465;505
2004;396.3;465;505
2007;403.58;465;505
2010;411.29;465;505
2014;434.3;465;505
2019;460.6;465;505
1885;287.05;465;505
1890;287.84;465;505
1905;285.81;465;505
1915;286.67;465;505
1920;289.38;465;505
1955;294.51;465;505
1975;304.02;465;505
1980;315.63;465;505
1986;333.28;465;505
1987;336.61;465;505
1989;344.31;465;505
1992;354.38;465;505
2001;388.68;465;505
2008;406.5;465;505
2012;422.22;465;505
1860;285.71;465;505
1880;286.25;465;505
1895;287.74;465;505
1940;293.83;465;505
1945;295.36;465;505
1950;296.89;465;505
1970;295.15;465;505
1979;313.01;465;505
1981;318.36;465;505
1982;320.96;465;505
2003;394.13;465;505
2017;450.76;465;505
2020;468.32;465;505
